B2dec,B3dec,B4dec,B5dec,B6dec,B7dec,B8dec,B8Adec,B11dec,B12dec,B2jan,B3jan,B4jan,B5jan,B6jan,B7jan,B8jan,B8Ajan,B11jan,B12jan
1263.0,1209.8333333333333,1419.388888888889,1644.5,2104.8333333333335,2436.722222222222,2407.722222222222,2812.8333333333335,3165.0555555555557,1870.3333333333333,1263.0,1209.8333333333333,1419.388888888889,1644.5,2104.8333333333335,2436.722222222222,2407.722222222222,2812.8333333333335,3165.0555555555557,1870.3333333333333
1265.611111111111,1230.111111111111,1465.0,1688.8333333333333,2143.0555555555557,2477.5,2445.9444444444443,2898.0,3281.722222222222,1969.5555555555557,1265.611111111111,1230.111111111111,1465.0,1688.8333333333333,2143.0555555555557,2477.5,2445.9444444444443,2898.0,3281.722222222222,1969.5555555555557
1352.5,1335.5555555555557,1576.6666666666667,1767.1666666666667,2233.277777777778,2543.1666666666665,2460.8888888888887,2909.6666666666665,3433.9444444444443,2241.0,1352.5,1335.5555555555557,1576.6666666666667,1767.1666666666667,2233.277777777778,2543.1666666666665,2460.8888888888887,2909.6666666666665,3433.9444444444443,2241.0
1340.2777777777778,1334.9444444444443,1588.5,1803.0555555555557,2294.6111111111113,2630.777777777778,2575.5,3047.277777777778,3414.1666666666665,2246.0,1340.2777777777778,1334.9444444444443,1588.5,1803.0555555555557,2294.6111111111113,2630.777777777778,2575.5,3047.277777777778,3414.1666666666665,2246.0
1311.388888888889,1298.8333333333333,1583.888888888889,1813.5,2309.3888888888887,2660.1111111111113,2622.5555555555557,3111.722222222222,3312.277777777778,2143.777777777778,1311.388888888889,1298.8333333333333,1583.888888888889,1813.5,2309.3888888888887,2660.1111111111113,2622.5555555555557,3111.722222222222,3312.277777777778,2143.777777777778
1275.0555555555557,1239.6666666666667,1446.2222222222222,1692.388888888889,2199.722222222222,2524.4444444444443,2463.6111111111113,2935.277777777778,3175.777777777778,2006.8333333333333,1275.0555555555557,1239.6666666666667,1446.2222222222222,1692.388888888889,2199.722222222222,2524.4444444444443,2463.6111111111113,2935.277777777778,3175.777777777778,2006.8333333333333
1248.8333333333333,1209.3333333333333,1394.888888888889,1656.9444444444443,2164.277777777778,2510.8888888888887,2437.6666666666665,2871.0555555555557,3098.4444444444443,1961.1666666666667,1248.8333333333333,1209.3333333333333,1394.888888888889,1656.9444444444443,2164.277777777778,2510.8888888888887,2437.6666666666665,2871.0555555555557,3098.4444444444443,1961.1666666666667
1294.611111111111,1267.1666666666667,1466.7777777777778,1709.888888888889,2233.6111111111113,2573.6666666666665,2508.0555555555557,2944.777777777778,3222.5,2243.0555555555557,1294.611111111111,1267.1666666666667,1466.7777777777778,1709.888888888889,2233.6111111111113,2573.6666666666665,2508.0555555555557,2944.777777777778,3222.5,2243.0555555555557
1267.111111111111,1226.7777777777778,1406.7777777777778,1639.5,2173.6111111111113,2509.0555555555557,2417.8333333333335,2850.0,3149.8888888888887,2147.1111111111113,1267.111111111111,1226.7777777777778,1406.7777777777778,1639.5,2173.6111111111113,2509.0555555555557,2417.8333333333335,2850.0,3149.8888888888887,2147.1111111111113
1251.7222222222222,1193.388888888889,1376.0555555555557,1601.2777777777778,2087.277777777778,2389.0555555555557,2276.0555555555557,2694.3333333333335,3107.5555555555557,2111.222222222222,1251.7222222222222,1193.388888888889,1376.0555555555557,1601.2777777777778,2087.277777777778,2389.0555555555557,2276.0555555555557,2694.3333333333335,3107.5555555555557,2111.222222222222
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
